Año,Trimestre,Provincia,Accesos por cada 100 hogares,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Total_x,Banda ancha fija,Dial up,Total_y
2014,2,Misiones,23.37,5400.0,13644.0,53245.0,5924.0,1334.0,20.0,0.0,0.0,79567.0,74689.0,0.0,74689.0
2014,2,Neuquén,50.84,1531.0,3206.0,79087.0,920.0,2289.0,20.0,30.0,0.0,87083.0,90053.0,2235.0,92288.0
2014,2,Río Negro,45.33,3468.0,5507.0,84978.0,780.0,1569.0,20.0,8.0,0.0,96330.0,94812.0,1145.0,95957.0
2014,2,Salta,28.91,530.0,18818.0,64440.0,8293.0,3880.0,0.0,0.0,0.0,95961.0,91949.0,25.0,91974.0
2014,2,San Juan,27.78,100.0,5070.0,51129.0,0.0,0.0,0.0,0.0,0.0,56299.0,50891.0,755.0,51646.0
2014,2,San Luis,9.72,70.0,0.0,13045.0,0.0,0.0,10.0,2.0,0.0,13127.0,12691.0,364.0,13055.0
2014,2,Santa Cruz,29.38,1530.0,1637.0,25374.0,20.0,0.0,0.0,0.0,0.0,28561.0,26710.0,459.0,27169.0
2014,2,Santa Fe,48.39,8515.0,115197.0,353559.0,23939.0,10058.0,340.0,792.0,0.0,512400.0,511753.0,605.0,512358.0
2014,2,Santiago Del Estero,16.7,1231.0,9914.0,23842.0,2867.0,1420.0,0.0,0.0,0.0,39274.0,38002.0,9.0,38011.0
2014,2,Tierra Del Fuego,64.36,120.0,3340.0,31198.0,20.0,0.0,0.0,0.0,0.0,34678.0,27443.0,766.0,28209.0
2014,2,Tucumán,33.94,60.0,32714.0,84675.0,14101.0,5590.0,40.0,0.0,0.0,137180.0,131981.0,88.0,132069.0
2014,1,Buenos Aires,54.57,8469.0,171244.0,2279875.0,121787.0,38923.0,2060.0,4037.0,0.0,2626395.0,2725732.0,14144.0,2739876.0
2014,1,Capital Federal,112.25,8520.0,88826.0,1096050.0,70293.0,38798.0,550.0,6208.0,0.0,1309245.0,1289204.0,10714.0,1299918.0
2014,1,Catamarca,24.25,190.0,9147.0,13330.0,1672.0,640.0,0.0,0.0,0.0,24979.0,24209.0,23.0,24232.0
2014,1,Chaco,20.72,4380.0,15849.0,40869.0,4644.0,7410.0,50.0,0.0,0.0,73202.0,62520.0,36.0,62556.0
2014,1,Chubut,41.24,7452.0,100.0,61329.0,0.0,0.0,0.0,0.0,0.0,68881.0,68205.0,2016.0,70221.0
2014,1,Córdoba,52.52,2076.0,107705.0,423114.0,24112.0,9818.0,400.0,588.0,0.0,567813.0,566705.0,205.0,566910.0
2014,1,Corrientes,22.32,200.0,16357.0,40742.0,4486.0,6300.0,0.0,0.0,0.0,68085.0,62203.0,33.0,62236.0
2014,1,Entre Ríos,34.37,2177.0,35206.0,85248.0,10828.0,7460.0,0.0,43.0,0.0,140962.0,134216.0,115.0,134331.0
2014,1,Formosa,17.42,2062.0,8475.0,13685.0,1133.0,670.0,0.0,0.0,0.0,26025.0,25335.0,87.0,25422.0
2014,1,Jujuy,18.42,1832.0,11498.0,18415.0,2002.0,560.0,0.0,0.0,0.0,34307.0,33825.0,2.0,33827.0
2014,1,La Pampa,48.43,7434.0,6535.0,32501.0,170.0,50.0,40.0,10.0,0.0,46740.0,53601.0,592.0,54193.0
2014,1,La Rioja,16.29,100.0,5111.0,9390.0,1165.0,350.0,0.0,0.0,0.0,16116.0,15688.0,23.0,15711.0
2014,1,Mendoza,31.91,350.0,60.0,166655.0,190.0,100.0,60.0,9.0,0.0,167424.0,164084.0,1761.0,165845.0
2014,1,Misiones,23.14,5450.0,1446.0,52852.0,5139.0,9580.0,0.0,0.0,0.0,74467.0,73950.0,0.0,73950.0
2014,1,Neuquén,49.79,4133.0,9870.0,77148.0,840.0,1582.0,20.0,22.0,0.0,93615.0,88077.0,2303.0,90380.0
2014,1,Río Negro,44.91,467.0,4618.0,84304.0,730.0,1062.0,10.0,8.0,0.0,91199.0,93909.0,1157.0,95066.0
2014,1,Salta,28.7,530.0,19677.0,64061.0,7192.0,3140.0,0.0,0.0,0.0,94600.0,91265.0,25.0,91290.0
2014,1,San Juan,27.6,5310.0,20.0,51056.0,0.0,0.0,0.0,0.0,0.0,56386.0,50543.0,755.0,51298.0
2014,1,San Luis,9.35,70.0,30.0,12544.0,0.0,10.0,0.0,2.0,0.0,12656.0,12193.0,364.0,12557.0
2014,1,Santa Cruz,28.94,1610.0,1625.0,24972.0,10.0,10.0,0.0,0.0,0.0,28227.0,26304.0,460.0,26764.0
2014,1,Santa Fe,47.85,8456.0,124468.0,345225.0,20328.0,6845.0,230.0,668.0,0.0,506220.0,506000.0,612.0,506612.0
2014,1,Santiago Del Estero,16.31,1234.0,10531.0,22817.0,2422.0,1090.0,0.0,0.0,0.0,38094.0,37124.0,9.0,37133.0
2014,1,Tierra Del Fuego,63.97,120.0,6070.0,30902.0,60.0,0.0,0.0,0.0,0.0,37152.0,27272.0,766.0,28038.0
2014,1,Tucumán,33.42,60.0,34672.0,83210.0,11779.0,3620.0,30.0,0.0,0.0,133371.0,129944.0,88.0,130032.0
